Image,Blink
1.jpeg,0
2.jpeg,0
3.jpeg,0
4.jpeg,0
5.jpeg,0
6.jpeg,1
7.jpeg,1
8.jpeg,1
9.jpeg,1
10.jpeg,1
11.jpeg,0
12.jpeg,0
13.jpeg,0
14.jpeg,0
15.jpeg,0
16.jpeg,1
17.jpeg,1
18.jpeg,1
19.jpeg,1
20.jpeg,1
21.jpeg,0
22.jpeg,0
23.jpeg,0
24.jpeg,0
25.jpeg,0
26.jpeg,1
27.jpeg,1
28.jpeg,1
29.jpeg,1
30.jpeg,1
31.jpeg,0
32.jpeg,0
33.jpeg,0
34.jpeg,0
35.jpeg,0
36.jpeg,1
37.jpeg,1
38.jpeg,1
39.jpeg,1
40.jpeg,1
41.jpeg,0
42.jpeg,0
43.jpeg,0
44.jpeg,0
45.jpeg,0
46.jpeg,1
47.jpeg,1
48.jpeg,1
49.jpeg,1
50.jpeg,1
51.jpeg,0
52.jpeg,0
53.jpeg,0
54.jpeg,0
55.jpeg,0
56.jpeg,1
57.jpeg,1
58.jpeg,1
59.jpeg,1
60.jpeg,1
61.jpeg,0
62.jpeg,0
63.jpeg,0
64.jpeg,0
65.jpeg,0
66.jpeg,1
67.jpeg,1
68.jpeg,1
69.jpeg,1
70.jpeg,1
71.jpeg,0
72.jpeg,0
73.jpeg,0
74.jpeg,0
75.jpeg,0
76.jpeg,1
77.jpeg,1
78.jpeg,1
79.jpeg,1
80.jpeg,1
81.jpeg,0
82.jpeg,0
83.jpeg,0
84.jpeg,0
85.jpeg,0
86.jpeg,1
87.jpeg,1
88.jpeg,1
89.jpeg,1
90.jpeg,1
91.jpeg,0
92.jpeg,0
93.jpeg,0
94.jpeg,0
95.jpeg,0
96.jpeg,1
97.jpeg,1
98.jpeg,1
99.jpeg,1
100.jpeg,1
101.jpeg,0
102.jpeg,0
103.jpeg,0
104.jpeg,0
105.jpeg,0
106.jpeg,1
107.jpeg,1
108.jpeg,1
109.jpeg,1
110.jpeg,1
111.jpeg,0
112.jpeg,0
113.jpeg,0
114.jpeg,0
115.jpeg,0
116.jpeg,1
117.jpeg,1
118.jpeg,1
119.jpeg,1
120.jpeg,1
121.jpeg,0
122.jpeg,0
123.jpeg,0
124.jpeg,0
125.jpeg,0
126.jpeg,1
127.jpeg,1
128.jpeg,1
129.jpeg,1
130.jpeg,1
131.jpeg,0
132.jpeg,0
133.jpeg,0
134.jpeg,0
135.jpeg,0
136.jpeg,1
137.jpeg,1
138.jpeg,1
139.jpeg,1
140.jpeg,1
141.jpeg,0
142.jpeg,0
143.jpeg,0
144.jpeg,0
145.jpeg,0
146.jpeg,1
147.jpeg,1
148.jpeg,1
149.jpeg,1
150.jpeg,1
151.jpeg,0
152.jpeg,0
153.jpeg,0
154.jpeg,0
155.jpeg,0
156.jpeg,1
157.jpeg,1
158.jpeg,1
159.jpeg,1
160.jpeg,1
161.jpeg,0
162.jpeg,0
163.jpeg,0
164.jpeg,0
165.jpeg,0
166.jpeg,1
167.jpeg,1
168.jpeg,1
169.jpeg,1
170.jpeg,1
171.jpeg,0
172.jpeg,0
173.jpeg,0
174.jpeg,0
175.jpeg,0
176.jpeg,1
177.jpeg,1
178.jpeg,1
179.jpeg,1
180.jpeg,1
181.jpeg,0
182.jpeg,0
183.jpeg,0
184.jpeg,0
185.jpeg,0
186.jpeg,1
187.jpeg,1
188.jpeg,1
189.jpeg,1
190.jpeg,1
191.jpeg,0
192.jpeg,0
193.jpeg,0
194.jpeg,0
195.jpeg,0
196.jpeg,1
197.jpeg,1
198.jpeg,1
199.jpeg,1
200.jpeg,1
201.jpeg,0
202.jpeg,0
203.jpeg,0
204.jpeg,0
205.jpeg,0
206.jpeg,1
207.jpeg,1
208.jpeg,1
209.jpeg,1
210.jpeg,1
211.jpeg,0
212.jpeg,0
213.jpeg,0
214.jpeg,0
215.jpeg,0
216.jpeg,1
217.jpeg,1
218.jpeg,1
219.jpeg,1
220.jpeg,1
221.jpeg,0
222.jpeg,0
223.jpeg,0
224.jpeg,0
225.jpeg,0
226.jpeg,1
227.jpeg,1
228.jpeg,1
229.jpeg,1
230.jpeg,1
231.jpeg,0
232.jpeg,0
233.jpeg,0
234.jpeg,0
235.jpeg,0
236.jpeg,1
237.jpeg,1
238.jpeg,1
239.jpeg,1
240.jpeg,1
241.jpeg,0
242.jpeg,0
243.jpeg,0
244.jpeg,0
245.jpeg,0
246.jpeg,1
247.jpeg,1
248.jpeg,1
249.jpeg,1
250.jpeg,1